0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
MULLAITIVU,NQC,NQC,NQC,NQC,1.7788,2.0336,NQC,NQC,NQC,NQC,NQC,NQC,1.6538,NQC,1.6381,1.4995,0.9756,0.9905,0.6048,NQC,NQC,0.782,0.9761,NQC,NQC,0.6412,NQC
VAVUNIYA,2.424,2.1704,2.1323,NQC,1.7107,NQC,NQC,1.5661,2.0263,NQC,NQC,NQC,NQC,1.5526,1.513,1.5032,1.2406,0.7733,0.6219,0.8461,1.0018,NQC,1.3072,NQC,NQC,1.3227,NQC
TRINCOMALEE,2.3765,NQC,2.1392,2.0601,1.7719,NQC,1.9246,1.6629,1.8836,NQC,1.7862,NQC,NQC,1.6355,1.6335,1.6277,1.3445,0.8475,0.7006,NQC,0.944,NQC,1.2216,NQC,NQC,1.1702,NQC
BATTICALOA,2.3823,2.1818,NQC,2.0717,1.8126,1.9984,NQC,1.7625,1.8925,1.7647,1.7993,NQC,1.7593,NQC,1.714,1.7484,1.3145,0.7507,0.7402,0.9077,0.8707,0.8639,1.1667,1.5516,NQC,1.1386,NQC
AMPARA,2.4008,2.1724,2.1247,2.0475,1.8552,1.9871,1.9159,1.807,1.8837,1.8268,1.8152,NQC,1.7938,NQC,1.7754,1.741,1.2847,0.7714,0.7663,0.87,0.8782,0.7766,1.3276,1.6636,1.4938,1.2912,1.679
PUTTALAM,2.4331,2.1971,2.1336,2.048,1.7079,1.9981,1.9373,1.6559,1.8784,1.7561,1.7751,1.682,1.6545,NQC,1.6325,1.6444,1.2587,0.7433,0.6287,0.8554,0.9823,0.8088,1.182,1.5855,1.4844,1.1741,NQC
KURUNEGALA,2.3664,2.1739,2.1206,2.0443,1.8295,1.9761,1.9395,NQC,1.8789,1.8354,1.8186,NQC,1.8112,NQC,1.7795,1.7978,1.376,0.8194,0.8324,0.8432,0.8466,0.814,1.2634,1.518,1.4843,1.3743,1.6782
ANURADHAPURA,2.3916,2.1711,2.1316,2.0417,1.7114,1.984,1.9326,1.6606,1.8784,NQC,1.779,NQC,1.6592,1.6397,1.6258,1.6198,1.3555,0.7443,0.7483,0.8446,0.8791,0.7754,1.2263,1.5922,1.5075,1.2375,NQC
POLONNARUWA,2.3838,NQC,2.1368,2.0664,1.7588,2.0015,1.9504,1.5814,1.885,1.7753,1.78,1.5233,NQC,1.5004,1.4618,1.4577,1.3517,0.8022,0.6254,0.8535,NQC,0.8033,1.0015,NQC,NQC,0.9268,NQC
BADULLA,2.3702,2.1702,2.1237,2.0538,1.7435,1.99,NQC,NQC,1.8807,1.7632,NQC,NQC,1.7375,NQC,1.7199,1.7072,1.3546,0.7521,0.7949,0.8443,0.8479,0.7997,1.2661,NQC,1.489,1.2414,1.6993
MONARAGALA,2.3627,2.2093,NQC,2.0473,1.7114,1.9904,1.9518,1.6362,1.9014,1.7286,1.8033,1.7301,NQC,1.6241,1.5953,1.569,1.3388,0.7433,0.7379,0.9645,0.978,0.7842,1.2477,NQC,1.4839,NQC,NQC
KEGALLE,2.4686,2.1976,2.1405,2.0547,1.8298,1.9739,1.9234,NQC,1.8802,1.8332,1.8206,NQC,1.8058,NQC,1.7593,1.7558,1.3958,0.9638,1.2661,0.8481,0.8488,0.8788,1.2787,1.5298,1.5024,1.3214,1.7219
RATNAPURA,2.3684,2.1907,2.1236,2.0406,1.8102,1.9796,1.9182,NQC,1.8772,1.7813,1.7887,1.8748,1.7637,NQC,1.7556,1.736,1.3768,0.7841,0.7971,0.8679,0.8568,0.7971,1.2552,1.5138,1.4957,1.428,1.6789
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COURSE 
OF 
STUDY
DISTRICT","BIOLOGICAL SCIENCE
(University of Peradeniya)","BIOLOGICAL SCIENCE
(University of Sri Jayewardenepura)","BIOLOGICAL SCIENCE
(University of Kelaniya)","BIOLOGICAL SCIENCE
(University of Jaffna)","BIOLOGICAL SCIENCE
(University of Ruhuna)","BIOLOGICAL SCIENCE
(Eastern University, Sri Lanka)","BIOLOGICAL SCIENCE
(South Eastern University of Sri Lanka)","APPLIED SCIENCES (BIO.SC)
(Rajarata University of Sri Lanka)","APPLIED SCIENCES (BIO.SC)
(Sabaragamuwa University of Sri Lanka)","APPLIED SCIENCES (BIO.SC)
(University of Vavuniya, Sri Lanka)","ENGINEERING  
(University of Peradeniya)","ENGINEERING  
(University of Sri Jayewardenepura)","ENGINEERING  
(University of Jaffna)","ENGINEERING  
(University of Ruhuna)","ENGINEERING  
(University of Moratuwa)","ENGINEERING  
(South Eastern University of Sri Lanka)","ENGINEERING  (EM)  
(University of Moratuwa)","ENGINEERING  (TM)
(University of Moratuwa)","QUANTITY SURVEYING  
(University of Moratuwa)","COMPUTER SCIENCE  
(University of Colombo School of Computing)","COMPUTER SCIENCE  
(University of Sri Jayewardenepura)","COMPUTER SCIENCE  
(University of Kelaniya)","COMPUTER SCIENCE  
(University of Jaffna)","COMPUTER SCIENCE  
(University of Ruhuna)","COMPUTER SCIENCE  
(Trincomalee Campus, Eastern University, Sri Lanka)","PHYSICAL SCIENCE
(University of Colombo)","PHYSICAL SCIENCE
(University of Peradeniya)"
COLOMBO,1.5223,1.4661,1.4074,1.3405,1.3291,NQC,NQC,1.0659,1.0475,0.9798,1.8993,1.8173,NQC,1.7896,2.0708,NQC,1.6128,1.6254,1.454,1.6607,1.5804,1.5846,1.3958,1.4176,NQC,1.4027,1.289
GAMPAHA,1.5237,1.4683,1.4075,1.1314,1.2994,0.9855,0.8145,1.0824,1.099,0.7099,1.9004,1.8238,1.5419,1.6191,2.0715,NQC,1.523,1.5573,1.4383,1.6646,1.5831,1.6109,1.1987,1.4118,1.1877,1.4028,1.2924
KALUTARA,1.5306,1.4672,1.4108,1.3636,1.3042,NQC,NQC,1.0824,1.0861,NQC,1.8993,1.8256,NQC,1.7439,2.0778,NQC,1.6372,1.6217,1.4837,1.6729,1.5816,1.5755,NQC,1.4253,NQC,1.4071,1.2942
MATALE,1.5303,1.4677,1.4236,1.1434,1.2923,1.0242,0.9715,1.0775,NQC,0.971,1.9395,NQC,1.355,1.6413,2.1285,1.283,1.5485,1.3858,1.26,NQC,NQC,NQC,NQC,NQC,0.7375,NQC,1.2953
KANDY,1.522,1.4672,1.4077,1.2149,1.291,1.2058,NQC,1.0644,1.0597,NQC,1.9062,1.8299,1.5938,1.6175,2.1012,NQC,1.6052,1.5863,1.4399,1.6662,NQC,1.5706,1.1849,1.4118,1.0294,1.4051,1.2874
NUWARA ELIYA,NQC,1.4705,NQC,1.1783,1.3369,0.9897,0.5016,1.1881,NQC,0.5028,1.9043,NQC,1.374,1.6321,2.1317,0.9915,1.2766,1.2477,1.1906,NQC,NQC,NQC,NQC,NQC,0.7166,1.4025,1.4071
GALLE,1.522,1.4695,1.41,1.3784,1.3157,NQC,NQC,1.0906,1.0844,NQC,1.9083,1.8308,NQC,1.7726,2.0711,NQC,1.6177,1.6418,1.4652,1.6641,1.5831,1.5707,NQC,1.4368,NQC,1.4033,1.289
MATARA,1.5398,1.4706,1.4255,1.1355,1.2887,1.0455,1.0867,1.0733,1.0597,0.9301,1.9034,1.8589,NQC,1.8598,2.0708,NQC,1.6211,1.6303,1.4847,1.6684,1.6012,1.6007,NQC,NQC,NQC,1.4072,1.2876
HAMBANTOTA,1.5416,1.4675,1.4126,1.1593,1.2869,1.2,1.1875,1.0796,1.046,1.0152,1.911,1.8333,NQC,1.677,2.0774,NQC,1.5316,1.5542,1.4738,1.6617,1.6017,1.5746,NQC,1.4324,NQC,1.4044,1.2906
JAFFNA,1.5286,1.467,1.4459,1.2472,1.4033,NQC,NQC,1.0834,1.0711,0.9917,1.9123,1.8166,1.6341,1.699,2.0735,NQC,1.3428,1.3633,1.3728,1.6718,1.5804,NQC,1.3857,NQC,1.3817,1.4109,1.2947
KILINOCHCHI,NQC,NQC,NQC,1.2491,NQC,NQC,0.5093,NQC,NQC,0.5106,NQC,NQC,1.5263,1.6248,2.1312,1.5908,1.4093,1.4223,1.3933,NQC,NQC,NQC,1.2435,1.4432,NQC,NQC,NQC
MANNAR,NQC,NQC,NQC,NQC,NQC,NQC,0.5493,NQC,NQC,0.6943,1.9762,NQC,NQC,1.7861,NQC,0.9977,1.0591,0.7844,0.9649,NQC,NQC,NQC,NQC,NQC,0.4759,NQC,NQC
MULLAITIVU,NQC,NQC,NQC,NQC,NQC,0.9991,0.6885,NQC,NQC,0.5344,NQC,NQC,1.4026,1.7731,2.6297,0.8496,0.7279,0.7512,0.8133,NQC,NQC,NQC,NQC,NQC,0.4575,NQC,NQC
VAVUNIYA,NQC,NQC,NQC,1.2182,NQC,NQC,0.43,NQC,NQC,0.7266,1.9837,NQC,1.5431,1.6545,2.1521,0.8926,1.0141,1.0891,1.1327,NQC,NQC,NQC,NQC,NQC,0.5855,NQC,NQC
TRINCOMALEE,1.5537,NQC,NQC,1.1836,NQC,0.9869,0.7338,1.1568,NQC,0.7358,1.9472,NQC,1.3606,1.6581,2.0845,1.002,1.3231,1.1033,1.1632,NQC,NQC,NQC,1.3243,NQC,0.5849,NQC,NQC
BATTICALOA,1.5291,1.4677,1.4174,1.1654,NQC,0.997,0.9108,1.082,NQC,0.8198,1.9029,1.8335,1.4557,1.6231,2.1131,NQC,1.4554,1.357,1.3099,NQC,NQC,NQC,1.1767,NQC,1.1293,NQC,1.3465
AMPARA,1.5583,1.5019,1.4297,1.1368,1.3162,0.9914,0.9785,1.2513,1.047,0.9268,1.9514,1.8573,1.3617,1.6193,2.0731,1.3611,1.3556,1.3961,1.3332,NQC,NQC,1.5985,1.2216,NQC,1.064,NQC,NQC
PUTTALAM,1.5684,1.4826,1.4216,1.1363,1.3919,1.0206,0.7405,1.1077,1.0611,0.6614,1.9096,1.8804,1.3489,1.6637,2.072,1.156,1.4397,1.4443,1.1753,1.7143,NQC,NQC,1.1762,1.5461,0.8402,1.4555,1.2894
KURUNEGALA,1.5262,1.4668,1.413,1.1691,1.2875,1.1741,NQC,1.0665,1.0451,NQC,1.9059,1.8173,1.6078,1.624,2.0742,NQC,1.5901,1.5863,1.4789,1.677,NQC,NQC,1.2362,1.4242,1.2762,1.4033,1.2989
ANURADHAPURA,1.5316,1.4706,1.4134,1.1359,1.2862,0.9935,0.9148,1.071,1.0483,0.8835,1.9065,1.8462,1.3575,1.6381,2.0834,1.3247,1.3359,1.3581,1.3119,1.6989,NQC,NQC,1.1889,NQC,1.0512,1.466,1.3136
POLONNARUWA,NQC,NQC,1.4386,1.1405,1.2956,1.0094,0.7749,1.1036,NQC,0.6723,1.9166,1.8192,1.3548,1.6258,2.0805,0.9744,1.5149,1.5136,1.1543,NQC,NQC,NQC,NQC,NQC,0.6562,NQC,NQC
BADULLA,1.5286,1.4797,1.4117,1.1489,1.3094,0.9912,0.8879,1.1011,1.051,0.8507,1.9027,1.8168,1.3977,1.617,2.0729,1.5593,1.474,1.5063,1.3928,1.6846,NQC,NQC,1.1798,1.4112,1.0916,NQC,1.291
MONARAGALA,NQC,1.5682,1.4347,1.2006,1.2935,0.9888,0.7366,1.0762,1.053,0.742,1.9489,NQC,1.3537,1.6886,2.1018,1.2636,1.61,1.613,1.2924,NQC,NQC,NQC,NQC,NQC,0.9039,NQC,NQC
KEGALLE,1.5275,1.4706,1.4115,1.1329,1.2955,1.1361,NQC,1.0683,1.045,NQC,1.9015,1.8784,NQC,1.6336,2.0864,NQC,1.6191,1.6215,1.4976,1.6896,1.5809,1.6243,1.2068,1.43,1.3014,1.4037,1.2926
RATNAPURA,1.5228,1.4683,1.4099,1.1387,1.2882,1.0597,1.2011,1.1479,1.0559,0.8356,1.9069,1.8169,NQC,1.6393,2.0821,NQC,1.5618,1.6072,1.4814,1.7736,1.5775,1.5702,1.251,1.4163,1.3607,1.4046,1.3243
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COURSE 
OF 
STUDY
DISTRICT","PHYSICAL SCIENCE
(University of Sri Jayewardenepura)","PHYSICAL SCIENCE
(University of Kelaniya)","PHYSICAL SCIENCE
(University of Jaffna)","PHYSICAL SCIENCE
(University of Ruhuna)","PHYSICAL SCIENCE
(Eastern University, Sri Lanka)","PHYSICAL SCIENCE
(South Eastern University of Sri Lanka)","SURVEYING SCIENCE
(Sabaragamuwa University of Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(Rajarata University of Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(Sabaragamuwa University of Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(Wayamba University of Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(University of Vavuniya, Sri Lanka)","APPLIED SCIENCES  (PHY.SC)
(Trincomalee Campus, Eastern University, Sri Lanka)","MANAGEMENT
(University of Colombo)","MANAGEMENT
(University of Peradeniya)","MANAGEMENT
(University of Sri Jayewardenepura)","MANAGEMENT
(University of Kelaniya)","MANAGEMENT
(University of Jaffna)","MANAGEMENT
(University of Ruhuna)","MANAGEMENT
(Eastern University, Sri Lanka)","MANAGEMENT
(South Eastern University of Sri Lanka)","MANAGEMENT
(Rajarata  University of Sri Lanka)","MANAGEMENT
(Sabaragamuwa University of Sri Lanka)","MANAGEMENT
(Wayamba University of Sri Lanka)","REAL ESTATE MANAGEMENT & VALUATION
(University of Sri Jayewardenepura)","COMMERCE
(University of Sri Jayewardenepura)","COMMERCE
(University of Kelaniya)","COMMERCE
(University of Jaffna)"
COLOMBO,1.2351,1.14,0.9527,1.0667,0.9551,0.9551,1.0726,0.9673,1.035,0.9202,0.8808,0.8795,1.6258,1.5149,1.6277,1.5541,1.3309,1.3902,1.3233,1.3729,1.3161,1.3186,1.3215,1.4791,1.5329,1.4484,1.2653
GAMPAHA,1.2322,1.1415,0.8866,1.0668,0.9392,0.9097,1.0307,0.9703,1.035,0.9219,0.86,0.8551,1.6258,1.516,1.6276,1.5547,1.2952,1.391,1.3642,NQC,1.29,1.303,1.3078,1.4162,1.5312,1.4504,1.2333
KALUTARA,1.2333,1.1393,1.031,1.0664,1.0295,1.0305,1.1373,0.9679,1.0328,0.943,0.9439,0.9957,1.6505,1.5152,1.6323,1.5565,NQC,1.3902,NQC,NQC,1.3345,1.3328,1.3381,1.4561,1.533,1.4524,1.2478
MATALE,NQC,1.1891,0.8668,1.0864,0.7518,0.766,0.9115,1.0151,NQC,0.9225,0.7211,0.656,1.6558,1.5195,1.6462,1.5629,1.256,1.3909,NQC,NQC,1.2521,1.3081,1.3146,1.4621,1.5336,1.4534,1.2476
KANDY,1.2451,1.1415,0.9485,1.0692,0.9573,0.9537,1.1331,0.9686,1.0323,0.9203,0.8947,0.9075,1.6374,1.516,1.632,1.5634,1.2069,1.3913,1.2146,1.2055,1.2373,1.3184,1.3111,1.4452,1.5387,1.4509,1.2406
NUWARA ELIYA,NQC,NQC,0.8758,NQC,0.6325,0.3413,0.9032,NQC,NQC,NQC,NQC,0.3008,1.6291,1.5214,1.6614,1.5583,1.0607,1.4025,1.0325,1.0556,1.2417,1.3172,1.3078,1.4303,NQC,1.4578,NQC
GALLE,1.2413,1.1407,NQC,1.0763,NQC,NQC,1.1156,0.9684,1.0305,0.9433,NQC,0.9509,1.6258,1.546,1.6309,1.5546,NQC,1.3916,NQC,NQC,1.3005,1.3024,1.323,1.4835,1.5308,1.4505,1.2354
MATARA,1.2326,1.1394,NQC,1.1148,NQC,NQC,1.1967,0.9681,1.0355,0.945,NQC,NQC,1.629,1.5237,1.6269,1.5557,NQC,1.3902,NQC,NQC,1.3226,1.3254,1.3761,1.4499,1.538,1.4581,1.2448
HAMBANTOTA,1.2322,1.1401,NQC,1.07,NQC,NQC,1.1648,0.9723,1.0378,0.9439,1.0609,NQC,1.6331,1.5181,1.6425,1.5583,1.1506,1.3975,1.1543,1.1557,1.2392,1.3035,1.3468,1.4462,NQC,1.456,NQC
JAFFNA,1.2454,1.1424,0.9421,NQC,0.9613,0.9778,1.1933,1.0063,1.0328,0.9303,0.8597,0.8597,1.671,1.5514,1.6323,NQC,1.0632,1.482,1.002,1.0296,NQC,NQC,1.3165,1.3895,NQC,NQC,NQC
KILINOCHCHI,NQC,NQC,0.9653,1.0711,0.715,0.5508,1.0961,NQC,NQC,NQC,0.8399,0.5409,1.7671,1.6352,1.7552,NQC,1.1018,NQC,1.0094,NQC,NQC,NQC,NQC,1.3616,NQC,NQC,NQC
MANNAR,NQC,NQC,NQC,NQC,NQC,0.3005,0.6937,NQC,NQC,NQC,NQC,0.2564,NQC,1.5225,1.7765,NQC,1.1173,1.4043,0.9684,0.9923,NQC,NQC,1.3931,1.3356,NQC,1.4842,NQC
MULLAITIVU,NQC,NQC,NQC,NQC,NQC,0.1576,0.6691,NQC,NQC,NQC,NQC,-0.0096,1.7216,1.5814,1.9551,NQC,1.1405,NQC,0.9981,NQC,1.4426,NQC,NQC,0.966,NQC,NQC,NQC
VAVUNIYA,NQC,NQC,NQC,NQC,NQC,0.2648,0.5994,NQC,NQC,NQC,NQC,0.1837,NQC,1.7075,1.6901,NQC,1.0744,NQC,0.9721,1.04,1.2366,NQC,NQC,1.486,1.5929,1.5004,NQC
TRINCOMALEE,NQC,NQC,NQC,NQC,0.7345,0.2116,0.9109,NQC,NQC,NQC,0.8321,0.2091,1.6743,1.5232,1.6425,1.5984,1.0726,1.4419,0.855,0.8568,1.2366,NQC,1.3162,1.4234,NQC,NQC,NQC
BATTICALOA,NQC,NQC,0.8644,1.0747,0.7492,0.8315,1.1073,0.9703,NQC,0.9337,0.7606,0.7558,1.8404,1.5225,1.644,1.5629,1.074,1.417,1.0313,1.0483,1.2518,NQC,1.3396,1.491,1.6037,1.4643,NQC
AMPARA,1.2609,NQC,0.905,1.1077,0.7802,0.8012,1.1392,0.9849,NQC,0.9255,0.7226,0.6975,1.6742,1.5329,1.659,1.5634,1.1105,1.3914,0.9855,0.9851,1.24,1.319,1.336,1.4484,NQC,1.4745,NQC
PUTTALAM,NQC,1.1401,0.8917,1.0663,0.6233,0.5541,0.9851,NQC,NQC,1.0065,0.7953,0.5049,1.6454,1.5242,1.6478,1.5539,1.0952,1.3931,1.1391,1.1745,1.2406,1.3731,1.3136,1.3474,NQC,1.4488,1.396
KURUNEGALA,1.2336,1.1423,0.9577,1.0674,0.9627,NQC,1.1294,0.995,1.0352,0.9202,0.9046,0.8987,1.6439,1.5248,1.6323,1.5546,1.2911,1.3974,NQC,NQC,1.279,1.3027,1.3081,1.4864,1.5416,1.4534,1.2251
ANURADHAPURA,NQC,1.1471,0.8624,1.0661,0.7366,0.7544,1.0705,0.9775,NQC,0.949,0.7264,0.7152,1.6442,1.5305,1.6291,1.5546,1.1358,1.4173,1.1835,NQC,1.2373,1.3306,1.3317,1.4246,1.5467,1.4494,NQC
POLONNARUWA,NQC,NQC,0.8872,NQC,0.6544,0.4831,0.9086,NQC,NQC,0.9488,0.7501,0.4551,NQC,NQC,1.6583,1.5832,1.0608,1.4014,1.0587,NQC,1.2594,1.3061,1.3125,1.4686,1.624,1.4664,NQC
BADULLA,1.2558,1.1571,0.8774,1.0705,0.8759,0.9158,1.0986,0.9712,1.0426,0.9252,0.8285,0.8186,1.6507,1.5177,1.633,1.5546,1.211,1.3917,1.22,NQC,1.2422,1.3025,1.3209,1.4661,1.5359,1.4527,NQC
MONARAGALA,NQC,1.218,0.8638,1.0822,0.7269,0.715,1.15,0.991,NQC,0.9228,0.8244,0.6776,1.6386,1.6071,1.628,1.5597,1.3038,1.3902,NQC,NQC,1.2605,1.3045,1.3262,1.4331,NQC,1.478,1.2273
KEGALLE,1.2457,1.1417,0.9881,1.0705,0.9882,NQC,1.1071,0.9686,1.0418,0.9409,NQC,NQC,1.645,1.5157,1.6269,1.5543,1.4089,1.3913,NQC,NQC,1.3385,1.3376,1.3382,1.491,1.5467,1.4491,1.2897
RATNAPURA,1.2331,1.1615,0.9081,1.0692,0.9095,0.9163,1.1278,0.9826,1.0404,0.9232,0.838,0.8408,1.6374,1.5212,1.6417,1.5539,1.2127,1.3927,1.2099,1.2084,1.2373,1.3056,1.3168,1.4769,1.577,1.4523,NQC
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COURSE 
OF 
STUDY
DISTRICT","COMMERCE
(Eastern University, Sri Lanka)","COMMERCE
(South Eastern University of Sri Lanka)","MANAGEMENT AND PUBLIC POLICY
(University of Sri Jayewardenepura)","BUSINESS INFORMATION SYSTEMS 
(HONOURS) (BIS)
(University of Sri Jayewardenepura)","FINANCIAL ENGINEERING 
(University of Kelaniya)","BANKING & INSURANCE 
(University of Vavuniya, Sri Lanka)","SERVICE MANAGEMENT
(Gampaha Wickramarachchi University of Indigenous Medicine, 
Sri Lanka)","LAW
(University of Colombo)","LAW
(University of Peradeniya)","LAW
(University of Jaffna)","ARTS *
(University of Colombo)","ARTS *
(University of Peradeniya)","ARTS *
(University of Sri Jayewardenepura)","ARTS *
(University of Kelaniya)","ARTS *
(University of Jaffna)","ARTS *
(University of Ruhuna)","ARTS *
(Eastern University, Sri Lanka)","ARTS *
(South Eastern University of Sri Lanka)","ARTS *
(Rajarata University of Sri Lanka)","ARTS  (SP) / MASS MEDIA* #
(University of Colombo - Sri Palee Campus)","ARTS (SP) / PERFORMING ARTS * #
(University of Colombo - Sri Palee Campus)","ARTS (SAB) - A * [Arts Stream]
(Sabaragamuwa University of Sri Lanka)","ARTS (SAB) - B * [Commerce Stream]
(Sabaragamuwa University of Sri Lanka)","ARTS-INFORMATION TECHNOLOGY * 
(University of Sri Jayewardenepura)","AQUATIC BIORESOURCES 
(University of Sri Jayewardenepura)","URBAN BIORESOURCES
(University of Sri Jayewardenepura)","SOCIAL WORK *
(University of Peradeniya)"
COLOMBO,1.2645,1.2652,1.4487,1.8539,1.6718,1.2358,1.2922,1.9595,1.9132,1.8486,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1393,1.0297,1.7492
GAMPAHA,1.2356,1.2415,1.3833,1.8091,1.6844,1.233,1.2168,1.9631,1.9165,1.781,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.0532,0.9707,1.7492
KALUTARA,1.2573,1.2655,1.3928,1.8223,1.6566,1.267,1.276,1.9479,1.9245,NQC,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.1761,1.0337,1.7492
MATALE,1.1853,1.2045,1.4387,1.4611,1.6634,1.2012,1.1687,1.9674,1.919,1.8643,1.6852,1.5106,1.5138,1.4123,1.1661,1.3397,1.1335,1.2247,1.2933,1.1837,1.1348,1.3283,1.1556,1.7946,1.0948,0.9398,1.7492
